"","Codi","Altitud (m)","Superficie (km2)","Any","Perc_pob","Densit_pob","Perc_Densit_pob"
"1","080142",404,7.9,2011,0.626328518269809,314.050632911392,0.931680278107611
"2","080142",404,7.9,2012,0.621323584721157,313.670886075949,0.926349172107907
"3","080142",404,7.9,2013,0.626835158888432,316.708860759494,0.93671197683781
"4","080142",404,7.9,2014,0.624842101050325,316.20253164557,0.93502226876094
"5","080142",404,7.9,2015,0.615672806743678,312.025316455696,0.922761633230545
"6","080142",404,7.9,2016,0.614693849074845,312.278481012658,0.922853361716763
"7","080142",404,7.9,2017,0.623420680009622,318.227848101266,0.936931543545847
"8","080142",404,7.9,2018,0.615571674350032,316.582278481013,0.926486259986982
"9","080142",404,7.9,2019,0.611271415249562,316.962025316456,0.920716468990221
"10","080142",404,7.9,2020,0.619922410984867,317.974683544304,0.922957348085117
"11","080142",404,7.9,2021,0.619922410984867,317.974683544304,0.922957348085117
"12","080057",281,14.24,2011,2.04762217319082,569.592696629213,1.68978574277638
"13","080057",281,14.24,2012,2.0535271020445,575.140449438202,1.698534683432
"14","080057",281,14.24,2013,2.0611402286871,577.738764044944,1.70874543410813
"15","080057",281,14.24,2014,2.07188435668529,581.671348314607,1.72002311601979
"16","080057",281,14.2,2015,2.07380580705588,584.718309859155,1.72920463222108
"17","080057",281,14.2,2016,2.0773014267276,587.112676056338,1.73505041092842
"18","080057",281,14.24,2017,2.07509317832956,587.640449438202,1.73014045322302
"19","080057",281,14.24,2018,2.09112232917948,596.629213483146,1.74605088841739
"20","080057",281,14.24,2019,2.06572632421797,594.241573033708,1.72616262880241
"21","080057",281,14.24,2020,2.13369791615253,607.162921348315,1.76235879377854
"22","080057",281,14.24,2021,2.13369791615253,607.162921348315,1.76235879377854
"23","080235",307,28.64,2011,2.2101999909118,305.691340782123,0.90688113172927
"24","080235",307,28.64,2012,2.20171202479277,306.599162011173,0.905464588859736
"25","080235",307,28.64,2013,2.19141771974305,305.412011173184,0.903299920469527
"26","080235",307,28.64,2014,2.21471255512393,309.148044692737,0.914161896893408
"27","080235",307,28.6,2015,2.21242585076491,309.72027972028,0.915944880388853
"28","080235",307,28.6,2016,2.2213196856515,311.713286713287,0.921183085053745
"29","080235",307,28.64,2017,2.22115315467231,312.744413407821,0.920787127015629
"30","080235",307,28.64,2018,2.21591034952952,314.350558659218,0.919955073968124
"31","080235",307,28.64,2019,2.2195206499397,317.458100558659,0.922157476457596
"32","080235",307,NA,NA,NA,NA,NA
"33","080235",307,NA,NA,NA,NA,NA
"34","080333",203,37.45,2011,4.33860617290807,458.90520694259,1.36141400788049
"35","080333",203,37.45,2012,4.33045989980593,461.174899866489,1.36196569606026
"36","080333",203,37.45,2013,4.29815507029974,458.104138851802,1.35490883479676
"37","080333",203,37.45,2014,4.29134951385884,458.104138851802,1.35463042945561
"38","080333",203,37.5,2015,4.27049640961599,455.946666666667,1.34838446949895
"39","080333",203,37.5,2016,4.26996696051707,456.986666666667,1.35049869662962
"40","080333",203,37.45,2017,4.26202515008965,458.931909212283,1.35119470104916
"41","080333",203,37.45,2018,4.29472616782635,465.927903871829,1.36355011137389
"42","080333",203,37.45,2019,4.28524697415767,468.731642189586,1.36157933137228
"43","080333",203,37.45,2020,4.39572371992932,475.62082777036,1.38054304512522
"44","080333",203,37.45,2021,4.39572371992932,475.62082777036,1.38054304512522
"45","080399",321,7.29,2011,0.121176013208185,65.843621399177,0.195335392029303
"46","080399",321,7.29,2012,0.12436501130819,68.0384087791495,0.200934566904127
"47","080399",321,7.29,2013,0.136290298335455,74.6227709190672,0.22070757065997
"48","080399",321,7.29,2014,0.130321350939639,71.4677640603567,0.21133275102898
"49","080399",321,7.3,2015,0.122635029659694,67.2602739726027,0.198910783802715
"50","080399",321,7.3,2016,0.117108272827392,64.3835616438356,0.190267949650696
"51","080399",321,7.29,2017,0.123493833987586,68.3127572016461,0.201127517376932
"52","080399",321,7.29,2018,0.12675706209127,70.6447187928669,0.206743604273354
"53","080399",321,7.29,2019,0.12913841001079,72.5651577503429,0.210788455648303
"54","080399",321,7.29,2020,0.133510360009082,74.2112482853224,0.215406510204024
"55","080399",321,7.29,2021,0.133510360009082,74.2112482853224,0.215406510204024
"56","080410",175,6.66,2011,4.00158538617281,2380.03003003003,7.06073100291595
"57","080410",175,6.66,2012,4.03434079021929,2415.91591591592,7.13480851407147
"58","080410",175,6.66,2013,4.01079298906671,2403.75375375375,7.10944722263345
"59","080410",175,6.66,2014,3.99068489998274,2395.4954954955,7.08356641342594
"60","080410",175,6.7,2015,3.97277552294724,2374.02985074627,7.02078820813804
"61","080410",175,6.7,2016,3.97096711500032,2378.65671641791,7.02946722424798
"62","080410",175,6.66,2017,4.00363042114373,2424.17417417417,7.137292554328
"63","080410",175,6.66,2018,4.01610676144321,2450,7.16998862936747
"64","080410",175,6.66,2019,4.05943784512179,2496.84684684685,7.25288150889048
"65","080410",175,6.66,2020,4.15313465543962,2526.87687687688,7.3345448613205
"66","080410",175,6.66,2021,4.15313465543962,2526.87687687688,7.3345448613205
"67","080462",193,12.1,2011,4.35249092442151,1424.87603305785,4.22711741237842
"68","080462",193,12.1,2012,4.36957470174964,1440.2479338843,4.25341509336253
"69","080462",193,12.1,2013,4.3926062513153,1449.00826446281,4.28565021074674
"70","080462",193,12.1,2014,4.42692374074806,1462.64462809917,4.32509281769203
"71","080462",193,12.1,2015,4.48029971901342,1482.47933884298,4.38417969246902
"72","080462",193,12.1,2016,4.52436599574424,1500.66115702479,4.43479226960234
"73","080462",193,12.1,2017,4.51570826689547,1504.95867768595,4.43092351995641
"74","080462",193,12.1,2018,4.47095540366586,1501.23966942149,4.39341688151324
"75","080462",193,12.1,2019,4.48127370995855,1517.10743801653,4.40691846922288
"76","080462",193,12.1,2020,4.5467557722871,1522.64462809917,4.41964760326793
"77","080462",193,12.1,2021,4.5467557722871,1522.64462809917,4.41964760326793
"78","080425",346,29.19,2011,0.711404177543055,96.5399109284001,0.286400731717784
"79","080425",346,29.19,2012,0.718358381850732,98.1500513874615,0.289861835704792
"80","080425",346,29.19,2013,0.720785272630703,98.5611510791367,0.291508770690372
"81","080425",346,29.19,2014,0.716142087793067,98.0815347721823,0.290030629068576
"82","080425",346,29.2,2015,0.723571651576647,99.2123287671233,0.293403533949321
"83","080425",346,29.2,2016,0.715855463474677,98.3904109589041,0.290765861354494
"84","080425",346,29.19,2017,0.72062867784724,99.5546420006852,0.293110376585188
"85","080425",346,29.19,2018,0.73716000187059,102.60363138061,0.300272191971748
"86","080425",346,29.19,2019,0.760915735356583,106.783144912641,0.310185423737996
