"","Codi","Municipi","Usuaris_sexe_Dependencia_Dona","Usuaris_sexe_Dependencia_Home","Hores_SAD_Dependencia_Dona","Hores_SAD_Dependencia_Home","Total_Hores_SAD_Dependencia","Total_Usuaris_SAD_Dependencia","Usuaris_sexe_Social_Dona","Usuaris_sexe_Social_Home","Hores_SAD_Social_Dona","Hores_SAD_Social_Home","Total_Hores_SAD_Social","Total_Usuaris_SAD_Social","Any","Total_Hores_SADSOCDEP","Total_Usuaris_SADSOCDEP","Total_Usuaris_SADSOCDEP_Dones","Total_Usuaris_SADSOCDEP_Homes","Total_Hores_SADSOCDEP_Dones","Total_Hores_SADSOCDEP_Homes","Homes","Dones","De 0 a 30","De 31 a 50","De 51 a 70","De 71 a 100","Total_POB_MUNI","Perc_SAD_POB_MUNI","Perc_SAD_Dones","Perc_SAD_Homes_Muni","Perc_SAD_USUARIS_0_a_30_A","Perc_SAD_USUARIS_31_a_50_A","Perc_SAD_USUARIS_51_a_70_A","Perc_SAD_USUARIS_71_a_100_A","Altitud (m)","Superficie (km2)","Perc_pob","Densit_pob","Perc_Densit_pob","Densit.pob.De_71_a_100","perc.Densit.pob.De_71_a_100","RFDB milers d'euros","RFDB per habitant. Milers d'euros","RFDB per habitant. Índex Catalunya = 100","Perc_VO_RFD_me","Perc_VO_RFD_me_CUTTED","VO_RFD_Dico"
"11","082943","Vallgorguina",3,4,546.66,351.33,897.99,7,4,1,685,20,705,5,2018,1602.99,12,7,5,1231.66,371.33,1427,1427,954,1102,601,197,2854,0.420462508759636,0.490539593552908,0.350385423966363,1.25786163522013,1.08892921960073,1.99667221297837,6.09137055837564,222,22.13,0.702455641181523,128.965205603254,0.377420023575251,8.90194306371441,100,50117,175,992,100,NA,"RFD VO me Per sobre la mitjana"
"12","080410","Canovelles",37,12,3741.5,620.5,4362,49,73,27,2765.5,1008.5,3774,100,2018,8136,149,110,39,6507,1629,8458,7859,5847,5207,3730,1533,16317,0.913158056015199,1.39966916910548,0.461101915346418,2.54831537540619,2.8615325523334,3.99463806970509,9.71950424005218,175,6.66,4.01610676144321,2450,7.16998862936747,230.18018018018,100,230427,140,795,100,NA,"RFD VO me Per sobre la mitjana"
"13","080885","La Garriga",2,1,198,87,285,3,63,10,2578,321,2899,73,2018,3184,76,65,11,2776,408,7861,8366,5474,5073,3880,1800,16227,0.468355210451716,0.776954338991155,0.139931306449561,1.38838143953233,1.49812734082397,1.95876288659794,4.22222222222222,252,18.8,3.99395504185444,863.13829787234,2.52599664543521,95.7446808510638,100,301629,185,1048,100,NA,"RFD VO me Per sobre la mitjana"
"14","081350","Montmeló",34,16,5342.18,1692.26,7034.44,50,22,5,1484,282,1766,27,2018,8800.44,77,56,21,6826.18,1974.26,4298,4486,2822,2680,2251,1031,8784,0.876593806921676,1.24832813196612,0.488599348534202,2.72856130403969,2.87313432835821,3.42070191026211,7.46847720659554,72,4,2.16200783186353,2196,6.42665103269019,257.75,100,144506,165,937,100,NA,"RFD VO me Per sobre la mitjana"
"15","081075","Lliçà d'Amunt",17,9,1192.9,514.12,1707.02,26,35,21,1883.52,1118.24,3001.76,56,2018,4708.78,82,52,30,3076.42,1632.36,7738,7373,4950,4916,3650,1595,15111,0.542651048904771,0.70527600705276,0.387697079348669,1.65656565656566,1.6680227827502,2.24657534246575,5.141065830721,145,22.33,3.71927371895375,676.712942230184,1.98041800046376,71.4285714285714,100,273336,180,1024,100,NA,"RFD VO me Per sobre la mitjana"
"16","081363","Montornès del Vallès",16,5,1304.75,413,1717.75,21,47,34,2087.75,1399.75,3487.5,81,2018,5205.25,102,63,39,3392.5,1812.75,8167,8096,5565,5546,3559,1593,16263,0.627190555248109,0.778162055335968,0.477531529325334,1.83288409703504,1.83916336098089,2.86597358808654,6.4030131826742,116,10.23,4.00281572968995,1589.73607038123,4.65240389727704,155.718475073314,100,261770,161,912,100,NA,"RFD VO me Per sobre la mitjana"
"17","080057","L'Ametlla del Vallès",9,10,1227,2040.5,3267.5,19,34,17,1926.5,960,2886.5,51,2018,6154,70,43,27,3153.5,3000.5,4285,4211,2917,2633,2212,734,8496,0.823917137476459,1.02113512229874,0.630105017502917,2.39972574562907,2.65856437523737,3.16455696202532,9.53678474114441,281,14.24,2.09112232917948,596.629213483146,1.74605088841739,51.5449438202247,100,196146,232,1315,100,NA,"RFD VO me Per sobre la mitjana"
"18","080142","Aiguafreda",13,7,1505.87,1162.5,2668.37,20,21,5,1870.5,433.5,2304,26,2018,4972.37,46,34,12,3376.37,1596,1204,1297,715,722,670,394,2501,1.83926429428229,2.62143407864302,0.996677740863787,6.43356643356643,6.37119113573407,6.86567164179105,11.6751269035533,404,7.9,0.615571674350032,316.582278481013,0.926486259986982,49.873417721519,100,44810,180,1018,100,NA,"RFD VO me Per sobre la mitjana"
"19","080425","Cànoves i Samalús",15,6,1600,624.5,2224.5,21,20,3,1535.75,179.5,1715.25,23,2018,3939.75,44,35,9,3135.75,804,1521,1474,959,976,716,344,2995,1.46911519198664,2.37449118046133,0.591715976331361,4.5881126173097,4.50819672131148,6.14525139664804,12.7906976744186,346,29.19,0.73716000187059,102.60363138061,0.300272191971748,11.7848578280233,100,53216,175,990,100,NA,"RFD VO me Per sobre la mitjana"
"20","081347","Figaró-Montmany",6,1,780,110,890,7,10,2,725.5,88,813.5,12,2018,1703.5,19,16,3,1505.5,198,551,558,348,335,267,159,1109,1.71325518485122,2.8673835125448,0.544464609800363,5.45977011494253,5.67164179104478,7.11610486891386,11.9496855345912,330,14.99,0.272958411377123,73.9826551034023,0.216512161576249,10.6070713809206,100,16752,151,857,100,NA,"RFD VO me Per sobre la mitjana"
